track_id,track_name,artist,album,album_image,rank,term,duration_ms,explicit
11yZHrCVjzHX9j8wxmwGEu,Chikwere,Bien,Alusa Why Are You Topless?,https://i.scdn.co/image/ab67616d0000b2736b6808d9ba46506c8deb6793,7,medium_term,281860,False
3HfKlhohNNTLIv2t9uvmzz,FEAR,NF,FEAR,https://i.scdn.co/image/ab67616d0000b27392640546d2877fe762c0f050,8,medium_term,268519,False
29xIQdObak8ALIgzz2FqTJ,Mwokozi,PAUL CLEMENT,The Journey,https://i.scdn.co/image/ab67616d0000b273a58182e9e065d3b0ecd2312f,9,medium_term,209728,False
7GaFYUqP2WdR4KTPk7cXoP,Let Me Love You,Mario,Turning Point,https://i.scdn.co/image/ab67616d0000b273ba8db944ef3e2846ba9efa57,10,medium_term,249120,False
77yjMVDTTozcP5yyebGQ1F,Mombasa,Marioo,Mombasa,https://i.scdn.co/image/ab67616d0000b273dc442413d5e81b5cd01658d1,11,medium_term,163043,False
6lKCaafKm88sVfYz2u7S4B,Rich Niggaz,J. Cole,Born Sinner (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc,12,medium_term,276093,True
5AgWHvmwQJGdZA09pSgkK9,OLUWA,Marioo,The Godson (Deluxe),https://i.scdn.co/image/ab67616d0000b2734ab0783b57602d1e2b5fde19,13,medium_term,168340,False
759DS4sknbTnQXgSsz1i2I,Lala (feat. Abigail Chams),Harmonize,Lala (feat. Abigail Chams),https://i.scdn.co/image/ab67616d0000b273a348176f7406de2c907e3e5c,14,medium_term,130666,False
3eRaSAk4a6gjsHK2omZbU4,uMoya,Thukuthela,The Most Wanted,https://i.scdn.co/image/ab67616d0000b273c2a66fc9b9938f38f2cafebd,15,medium_term,358850,False
0PSAMlvOdQcZ7Hi3AZzUca,Lose Some Win Some,Nasty C,Zulu Man With Some Power,https://i.scdn.co/image/ab67616d0000b273a153400ed9fd1df566142d29,16,medium_term,91180,True
2tppvvQ1CRFPFSGQKGsIoq,I Need You,Marc Anthony,Mended,https://i.scdn.co/image/ab67616d0000b2738f7c79e0bf7d8c528a6b4096,17,medium_term,251493,False
0fV2w5yQaawHPa4Wgbvatq,Hapa Nilipo,UPENDO NKONE,Hapa Nilipo,https://i.scdn.co/image/ab67616d0000b273418511226ad69f085ef6d69c,18,medium_term,460251,False
3gjHnylel3PTRpjS44ocqr,Zombie - 2025 Remastered,The Cranberries,No Need To Argue (2025 Remastered),https://i.scdn.co/image/ab67616d0000b27320a28883cdd0fc7d5f85a9a9,19,medium_term,305626,False
4at3d5QWnlibMVN75ECDrp,Pretty Little Fears (feat. J. Cole),6LACK,East Atlanta Love Letter,https://i.scdn.co/image/ab67616d0000b273e1530b42603367fdb2208d88,20,medium_term,240341,True
0JGZYsSnDraphLvnhIUaQx,Scared Love,Rod Wave,Last Lap,https://i.scdn.co/image/ab67616d0000b273287c37c4384f0a2245a69726,21,medium_term,185883,True
7KyKrqKKCXFumCWNV2WxNw,Vifungo vya familia by voice of hope live. - Live,Emanuel Nicarios,Vifungo vya familia by voice of hope live. (Live),https://i.scdn.co/image/ab67616d0000b2736f9003e9202a2592acbc76f6,22,medium_term,356352,False
6pKrwKfT1IUq6GvO7xtlIW,Calling My Name (I'm A Soldier) - Live,Ebuka Songs,Calling My Name (I'm A Soldier) [Live],https://i.scdn.co/image/ab67616d0000b273990e3e587421c1841eda64c9,23,medium_term,638798,False
6eT7xZZlB2mwyzJ2sUKG6w,White Iverson,Post Malone,Stoney (Deluxe),https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41,24,medium_term,256532,True
3ORvFHgfasdR92GGp6rVQF,MAYDAY RACHAEL,Gradine Toto,MAYDAY RACHAEL,https://i.scdn.co/image/ab67616d0000b273dcc63d033166dd6ef6a16a88,25,medium_term,409597,False
7hyFKrPZo1Zv4D35MpTBdr,I Love You,Céline Dion,Falling into You,https://i.scdn.co/image/ab67616d0000b273c6aebd89b2dcda3348649633,26,medium_term,330200,False
2dTQe0W5KXs6TNVV7yi2oS,Adiwele (feat. Kabza De Small & DJ Maphorisa),Young Stunna,Notumato,https://i.scdn.co/image/ab67616d0000b273de1efe9b284e71ce2fd4078a,27,medium_term,471428,False
0wf9rSX8ds3yEI2gf2QdPs,Dreams,NF,Perception,https://i.scdn.co/image/ab67616d0000b273cd733919ee57d0cc466e152f,28,medium_term,221573,False
1f1aVSNrIlYJireodCP04q,Everlasting King,Loveworld Singers,I Love You Now And Always,https://i.scdn.co/image/ab67616d0000b273619079ab9d757829580cadfe,29,medium_term,400357,False
6YYnBEMEaj960IX1evcTun,Ogechi,Brown Joel,Ogechi,https://i.scdn.co/image/ab67616d0000b273045c5c99d5f4e5cb47f5a92d,30,medium_term,152133,False
33DZ7zKxxslObJ4GJfyBBX,Siwezi,Marioo,The Kid You Know,https://i.scdn.co/image/ab67616d0000b273ff6829ead30f3d4eb79406ab,31,medium_term,219574,False
3HCZlM8G03ely2mj6nHiJV,Lengoma (feat. Sami'Kay & Misokuhle),MSA,Lengoma (feat. Sami'Kay & Misokuhle),https://i.scdn.co/image/ab67616d0000b27335bb4adf78af29614fb40d11,32,medium_term,311867,False
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch),Mustard,Perfect Ten,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,33,medium_term,180434,True
6SKwQghsR8AISlxhcwyA9R,Marry You,Bruno Mars,Doo-Wops & Hooligans,https://i.scdn.co/image/ab67616d0000b2738a9eb5a1f701d1d367a5ea10,34,medium_term,230192,False
0Ga0lQXA9cwHm1xFLysmD5,Shebeleza (Okongo Mame),Joe Mafela,Shebeleza! Fela's,https://i.scdn.co/image/ab67616d0000b2730ff84864b1e46930ce081c59,35,medium_term,379973,False
5JVCPxHDsOBbTn9lw0yhP1,Natulizana,Diamond Platnumz,Natulizana,https://i.scdn.co/image/ab67616d0000b2731381794135590358b5b74724,36,medium_term,266207,False
5ZfOg71oANMaKmswvSEF2r,WHO TF IZ U,J. Cole,The Fall-Off,https://i.scdn.co/image/ab67616d0000b27380788f104c780412212e97e3,37,medium_term,277013,True
3gYvVABY8K1Oq51AfrguRV,Great King Of All,Loveworld Singers,You Sit Above The Cherubim,https://i.scdn.co/image/ab67616d0000b273fb006075be16e463c94605bb,38,medium_term,253794,False
2MDCFf3HBDHJh0cLQzJJzG,Hemani,PAUL CLEMENT,Uzima Tele,https://i.scdn.co/image/ab67616d0000b27350830616dd7aacb48992ae4d,39,medium_term,804375,False
3vBTFVEcGhmH13Y0Lj9UTN,BULLET,NF,HOPE,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,40,medium_term,222510,False
1BncfTJAWxrsxyT9culBrj,Experience,Ludovico Einaudi,In A Time Lapse,https://i.scdn.co/image/ab67616d0000b2736c8ef0538e04f2e28380dcc5,41,medium_term,315426,False
29iva9idM6rFCPUlu7Rhxl,YUKON,Justin Bieber,SWAG,https://i.scdn.co/image/ab67616d0000b273d65c4773bc5061fd27facc5b,42,medium_term,163866,False
2G4NICwwwXTSz3Ui1wWkr8,Lucky Now,Jux,King of Hearts,https://i.scdn.co/image/ab67616d0000b273eea97dca4af6a0ef1bf2a440,43,medium_term,250656,False
1l0wPhFZP1kWkZNQrrYrGy,RUNNING,NF,HOPE,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,44,medium_term,253532,False
1y3bE5i57eUm3hfLAc7h08,Walking The Wire,Imagine Dragons,Evolve,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,45,medium_term,232906,False
